id_comuna, id_region, nombre_comuna
1,1,Arica
2,1,Camarones
3,1,General Lagos
4,1,Putre
5,2,Alto Hospicio
6,2,Iquique
7,2,Camiña
8,2,Colchane
9,2,Huara
10,2,Pica
11,2,Pozo Almonte
12,3,Antofagasta
13,3,Mejillones
14,3,Sierra Gorda
15,3,Taltal
16,3,Calama
17,3,Ollagüe
18,3,San Pedro de Atacama
19,3,María Elena
20,3,Tocopilla
21,4,Chañaral
22,4,Diego de Almagro
23,4,Caldera
24,4,Copiapó
25,4,Tierra Amarilla
26,4,Alto del Carmen
27,4,Freirina
28,4,Huasco
29,4,Vallenar
30,5,Canela
31,5,Illapel
32,5,Los Vilos
33,5,Salamanca
34,5,Andacollo
35,5,Coquimbo
36,5,La Higuera
37,5,La Serena
38,5,Paihuano
39,5,Vicuña
40,5,Combarbalá
41,5,Monte Patria
42,5,Ovalle
43,5,Punitaqui
44,5,Río Hurtado
45,6,Isla de Pascua
46,6,Calle Larga
47,6,Los Andes
48,6,Rinconada de Los Andes
49,6,San Esteban
50,6,Limache
51,6,Olmué
52,6,Quilpué
53,6,Villa Alemana
54,6,Cabildo
55,6,La Ligua
56,6,Papudo
57,6,Petorca
58,6,Zapallar
59,6,Hijuelas
60,6,La Calera
61,6,La Cruz
62,6,Nogales
63,6,Quillota
64,6,Algarrobo
65,6,Cartagena
66,6,El Quisco
67,6,El Tabo
68,6,San Antonio
69,6,Santo Domingo
70,6,Catemu
71,6,Llaillay
72,6,Panquehue
73,6,Putaendo
74,6,San Felipe
75,6,Santa María
76,6,Casablanca
77,6,Concón
78,6,Juan Fernández
79,6,Puchuncaví
80,6,Quintero
81,6,Valparaíso
82,6,Viña del Mar
83,7,Codegua
84,7,Coínco
85,7,Coltauco
86,7,Doñihue
87,7,Graneros
88,7,Las Cabras
89,7,Machalí
90,7,Malloa
91,7,Olivar
92,7,Peumo
93,7,Pichidegua
94,7,Quinta de Tilcoco
95,7,Rancagua
96,7,Requínoa
97,7,Rengo
98,7,San Francisco de Mostazal
99,7,San Vicente de Tagua Tagua
100,7,La Estrella
101,7,Litueche
102,7,Marchigüe
103,7,Navidad
104,7,Paredones
105,7,Pichilemu
106,7,Chépica
107,7,Chimbarongo
108,7,Lolol
109,7,Nancagua
110,7,Palmilla
111,7,Peralillo
112,7,Placilla
113,7,Pumanque
114,7,San Fernando
115,7,Santa Cruz
116,8,Cauquenes
117,8,Chanco
118,8,Pelluhue
119,8,Curicó
120,8,Hualañé
121,8,Licantén
122,8,Molina
123,8,Rauco
124,8,Romeral
125,8,Sagrada Familia
126,8,Teno
127,8,Vichuquén
128,8,Colbún
129,8,Linares
130,8,Longaví
131,8,Parral
132,8,Retiro
133,8,San Javier de Loncomilla
134,8,Villa Alegre
135,8,Yerbas Buenas
136,8,Constitución
137,8,Curepto
138,8,Empedrado
139,8,Maule
140,8,Pelarco
141,8,Pencahue
142,8,Río Claro
143,8,San Clemente
144,8,San Rafael
145,8,Talca
146,9,Bulnes
147,9,Chillán
148,9,Chillán Viejo
149,9,El Carmen
150,9,Pemuco
151,9,Pinto
152,9,Quillón
153,9,San Ignacio
154,9,Yungay
155,9,Cobquecura
156,9,Coelemu
157,9,Ninhue
158,9,Portezuelo
